# reinj  reinj2  l_iter
-0.828535426365 0.998934470849 11
-0.769232570921 0.91608863642 12
-0.809850915944 0.972650528772 11
-1.84031234963 2.90695228862 1
1.01243010027 -0.900880061343 7
-1.84334651047 2.91489394878 1
-0.844264692482 1.02129613603 10
-0.814057376091 0.978546755143 11
-1.50609945626 2.14067074244 3
-0.778096414301 0.928381305091 12
-1.26345857909 1.68313833463 5
-0.777501693799 0.927554894958 12
-1.15896798807 1.50499598602 6
-1.9997367423 3.35451811462 1
-1.65942556733 2.46881159325 2
-0.805104995943 0.966012774034 11
-0.84266847792 1.01902631394 10
-1.29111492123 1.73207216634 5
-1.38019197629 1.89497427862 4
-1.02063417368 1.28328598805 8
-1.17840262344 1.53741423042 6
-1.86758000483 2.97896060837 1
-0.914765718717 1.12339405917 9
-1.46630230866 2.06101162789 3
-0.937688391458 1.15738737147 9
-1.74371625278 2.66509221399 2
-0.769061466618 0.9158518534 12
-0.815315637611 0.98031284411 11
-1.41425487076 1.95958555095 4
-1.17048232907 1.52419750132 6
-0.973485234643 1.21118536973 8
-0.778277264663 0.928632657939 12
-1.29903495956 1.74625113622 5
-1.08903541996 1.39085596921 7
-1.85872407804 2.9554104887 1
-0.781020934717 0.932448631334 12
-1.88226714636 3.01839699774 1
-1.77742571496 2.74739157613 2
-1.58757194749 2.31064372269 3
-0.953697783697 1.1813696118 9
-0.861936050847 1.04654856414 10
-1.45917376985 2.04699447267 4
-0.945700114318 1.16936406501 9
-1.24332467743 1.64804035984 5
1.21983977931 -1.05640345091 5
-1.67267963222 2.49883326015 2
-0.771219252474 0.918839359061 12
-0.771397969859 0.919086938712 12
-0.770027894229 0.917189505992 12
-0.790747319539 0.946017496374 11
-1.17945971218 1.5391920231 6
-1.81703323355 2.8467946866 1
-1.4333606318 1.99650493177 4
-0.774960585923 0.924026519693 12
-0.874452615122 1.06459562219 10
-1.53132049832 2.19234869942 3
-1.7393742356 2.65463891825 2
-0.779966242791 0.930981133606 12
-1.73138687714 2.63551508334 2
-0.851099366216 1.03103594276 10
-1.95858520748 3.23250577051 1
-0.791793878578 0.947479168496 11
1.89755072158 -1.51248492053 1
-1.88138268632 3.0160127336 1
-1.79656399904 2.7950098308 1
-0.798091066842 0.956231231532 11
-1.7337752776 2.64121915249 2
-0.823720457019 0.992137946715 11
-0.890381770791 1.08768019921 10
-0.769551652319 0.916530250737 12
-0.803255509304 0.963430229525 11
-0.79299191642 0.949142122174 11
-1.3026448607 1.75273859458 5
-0.975979709808 1.21494945744 8
-0.785485130809 0.93866846016 11
-1.16905407486 1.5218213163 6
-1.10790799021 1.42123463283 7
-0.949634242681 1.17526342825 9
-1.03022907865 1.29813998564 8
-0.90064768516 1.10266026679 10
-1.77570552117 2.74315751589 2
-1.58048917991 2.29552715153 3
-0.793864356887 0.950353745814 11
-0.814631875849 0.979352984008 11
-1.4641326812 2.05673737845 3
-0.99270870428 1.24032313625 8
-1.30000010366 1.7479840924 5
-1.05746197934 1.34071435823 7
-1.75270799402 2.68686969894 2
-0.837559982813 1.01171667149 11
-1.69203115552 2.54318592696 2
-1.68314519457 2.52270625202 2
-1.92225192349 3.12852234987 1
-1.02806272424 1.29477962142 8
-0.868335386616 1.0557816096 10
-1.98165447886 3.30021819075 1
-1.35814752654 1.85396093065 4
-1.78229689725 2.75941854767 1
-0.771322220376 0.918981999246 12
-0.770556056234 0.917920812918 12
-0.779982726697 0.931004063481 12
-1.73662746234 2.64804692212 2
-0.797939474024 0.956020193579 11
-0.849860317766 1.02926771012 10
-0.870370091719 1.0587101839 10
-1.83065399867 2.88182815725 1
-1.63369880803 2.41114176093 2
-1.25573739626 1.66962715102 5
-1.75950928251 2.70345958018 2
-1.00362118636 1.25705019131 8
-1.07068669024 1.36161361997 7
-1.95061703136 3.2093373895 1
-0.769338503039 0.916235240717 12
-0.807081281625 0.968774971129 11
-0.844457389737 1.02157027682 10
-1.9718237163 3.27116053085 1
-0.997417441314 1.24756954701 8
-0.774762687932 0.923751917455 12
-0.863062021846 1.04816530834 10
-0.829616059889 1.00046205228 11
-0.774448367524 0.923315822486 12
-0.843739070054 1.02054849574 10
-1.18255731831 1.54440763781 6
-1.66501336298 2.48148140749 2
1.48053487217 -1.2407261976 3
-1.71016432849 2.585343014 2
-1.24335726661 1.64809681951 5
1.31137424643 -1.12236628449 4
-0.88619572182 1.08159506212 10
-0.859146158437 1.04254665422 10
-1.77163515284 2.73308173381 2
-1.70331388554 2.5693367813 2
-1.40149101768 1.93521891899 4
-1.59970669819 2.33674290388 3
-1.80592169731 2.81855607647 1
-0.155344996503 0.164992718224 36
-0.903456562416 1.10677311417 10
-1.41970239449 1.97006057531 4
-1.01392075084 1.27293890216 8
-1.54114089931 2.21267682765 3
-1.44047110704 2.01037494759 4
-0.810548267693 0.973627167876 11
-1.78373612716 2.76298254761 1
-1.15953512025 1.50593978908 6
-0.952301885977 1.17927056572 9
-0.910731690907 1.11745393762 9
-1.84609218205 2.92210030642 1
-0.830080297819 1.00111854873 11
-0.782471317655 0.934467923707 12
-1.14967908419 1.48958125494 6
-1.75390077214 2.68977180202 2
-0.858115947927 1.04107032813 10
-0.866467338802 1.05309565051 10
-1.82521602779 2.86778588299 1
-0.922082152112 1.13419981266 9
-0.775228448004 0.924398245733 12
-0.894756854701 1.09405445206 10
-0.889185564471 1.08593994342 10
-0.781434952466 0.93302490127 12
-1.78798308014 2.77352752045 1
-1.05536979051 1.3374215917 7
-0.953536884602 1.18112758561 9
-0.867450609981 1.05450911271 10
-0.798016102764 0.956126869315 11
-0.876340418726 1.06732137097 10
-1.40392776113 1.93986187738 4
-1.51302349653 2.15475451088 3
-0.778092316274 0.928375609706 12
-1.2626869138 1.68178512415 5
-1.09130090801 1.39448643233 7
-1.73233278325 2.63777266766 2
-0.839583101401 1.01459002257 11
-0.842145713381 1.01828334166 10
-0.770914585464 0.918417349347 12
-0.774652654348 0.923599246906 12
-0.855995188822 1.03803365174 10
