# d=-12 u_star=-98.114729439 m=-1.03363159027 C=1.06839426441
# s  F2_minus_ustar
-1.4355 -1.57586997149
-1.43385 -1.57391177887
-1.4322 -1.57195433907
-1.43055 -1.56999765061
-1.4289 -1.56804171214
-1.42725 -1.56616246432
-1.4256 -1.56421023504
-1.42395 -1.56225877665
-1.4223 -1.56030808857
-1.42065 -1.55835816958
-1.419 -1.55640901884
-1.41735 -1.55446063576
-1.4157 -1.55251301888
-1.41405 -1.55056615945
-1.4124 -1.54861999609
-1.41075 -1.54667461627
-1.4091 -1.54474991422
-1.40745 -1.54280425401
-1.4058 -1.54085929279
-1.40415 -1.53891556964
-1.4025 -1.53697311147
-1.40085 -1.53503140336
-1.3992 -1.53309044908
-1.39755 -1.53115024726
-1.3959 -1.52921079723
-1.39425 -1.52727209446
-1.3926 -1.52533413935
-1.39095 -1.52340752781
-1.3893 -1.52148517395
-1.38765 -1.51956366218
-1.386 -1.51764299162
-1.38435 -1.5157231623
-1.3827 -1.51380417323
-1.38105 -1.51188602399
-1.3794 -1.50996871398
-1.37775 -1.5080522428
-1.3761 -1.50621020084
-1.37445 -1.50429326372
-1.3728 -1.50237717619
-1.37115 -1.50046193822
-1.3695 -1.49854754974
-1.36785 -1.49663401082
-1.3662 -1.49472132159
-1.36455 -1.49280948192
-1.3629 -1.49089849165
-1.36125 -1.48898835135
-1.3596 -1.48707906083
-1.35795 -1.48517062298
-1.3563 -1.48326305214
-1.35465 -1.48135633018
-1.353 -1.47945045716
-1.35135 -1.47754543328
-1.3497 -1.47564125891
-1.34805 -1.47373793389
-1.3464 -1.47183545874
-1.34475 -1.4699279628
-1.3431 -1.46800655769
-1.34145 -1.46606630343
-1.3398 -1.46416362307
-1.33815 -1.46226171239
-1.3365 -1.46036057109
-1.33485 -1.45846019923
-1.3332 -1.45655789226
-1.33155 -1.45464001347
-1.3299 -1.45272283751
-1.32825 -1.45080636397
-1.3266 -1.44889090815
-1.32495 -1.44697398729
-1.3233 -1.44505776979
-1.32165 -1.44314225546
-1.32 -1.44122744425
-1.31835 -1.43931333581
-1.3167 -1.43739993011
-1.31505 -1.43548722106
-1.3134 -1.4335751843
-1.31175 -1.43166384507
-1.3101 -1.42975320332
-1.30845 -1.42787883892
-1.3068 -1.42596785857
-1.30515 -1.42405746495
-1.3035 -1.4221475449
-1.30185 -1.42023820889
-1.3002 -1.41832952589
-1.29855 -1.41642149564
-1.2969 -1.4145141175
-1.29525 -1.41260735511
-1.2936 -1.41070118495
-1.29195 -1.408795685
-1.2903 -1.40689085522
-1.28865 -1.40498669574
-1.287 -1.40308320659
-1.28535 -1.40118038746
-1.2837 -1.39927839458
-1.28205 -1.39737768901
-1.2804 -1.39547770124
-1.27875 -1.39363595455
-1.2771 -1.39173889166
-1.27545 -1.38984231618
-1.2738 -1.38794622772
-1.27215 -1.3859907067
-1.2705 -1.38409499468
-1.26885 -1.38219982737
-1.2672 -1.38030520522
-1.26555 -1.37841112784
-1.2639 -1.37651759619
-1.26225 -1.37462461028
-1.2606 -1.37273216975
-1.25895 -1.37084027497
-1.2573 -1.36894892656
-1.25565 -1.36705812381
-1.254 -1.36516786726
-1.25235 -1.36327815701
-1.2507 -1.36138899288
-1.24905 -1.35950037492
-1.2474 -1.35761230306
-1.24575 -1.35572477804
-1.2441 -1.35383779906
-1.24245 -1.35195136655
-1.2408 -1.35006548032
-1.23915 -1.34818014035
-1.2375 -1.34629534658
-1.23585 -1.34441109923
-1.2342 -1.34252899206
-1.23255 -1.34065854085
-1.2309 -1.33878846745
-1.22925 -1.3369179626
-1.2276 -1.33504796197
-1.22595 -1.33317846414
-1.2243 -1.33130946777
-1.22265 -1.32944097273
-1.221 -1.3275729781
-1.21935 -1.32570548286
-1.2177 -1.32383848601
-1.21605 -1.32197198677
-1.2144 -1.32004802641
-1.21275 -1.31811881876
-1.2111 -1.31624030549
-1.20945 -1.31436222463
-1.2078 -1.31249222009
-1.20615 -1.31062770926
-1.2045 -1.3087636709
-1.20285 -1.30690010388
-1.2012 -1.30512400909
-1.19955 -1.30325963741
-1.1979 -1.30139573497
-1.19625 -1.29953230042
-1.1946 -1.29766933321
-1.19295 -1.29580683232
-1.1913 -1.29394479649
-1.18965 -1.29208341406
-1.188 -1.29022257452
-1.18635 -1.28836074362
-1.1847 -1.28648870624
-1.18305 -1.28461709537
-1.1814 -1.28274591048
-1.17975 -1.28087515058
-1.1781 -1.27900481508
-1.17645 -1.27713490287
-1.1748 -1.27526541324
-1.17315 -1.27342653936
-1.1715 -1.27156840967
-1.16985 -1.26971073217
-1.1682 -1.26785030939
-1.16655 -1.26598203695
-1.1649 -1.26414003655
-1.16325 -1.26227077968
-1.1616 -1.26040192564
-1.15995 -1.25853347366
-1.1583 -1.25666542298
-1.15665 -1.25479777283
-1.155 -1.25293052246
-1.15335 -1.25106367107
-1.1517 -1.24919734918
-1.15005 -1.247331968
-1.1484 -1.24546698724
-1.14675 -1.24360239966
-1.1451 -1.24173820414
-1.14345 -1.23987439957
-1.1418 -1.23801098502
-1.14015 -1.23614795919
-1.1385 -1.23428532102
-1.13685 -1.23242306951
-1.1352 -1.23056120343
-1.13355 -1.22869972181
-1.1319 -1.22683862342
-1.13025 -1.22497790717
-1.1286 -1.22311757196
-1.12695 -1.22125759951
-1.1253 -1.2193979486
-1.12365 -1.21753868035
-1.122 -1.21567979372
-1.12035 -1.21382128756
-1.1187 -1.21196316076
-1.11705 -1.21010541232
-1.1154 -1.20824804098
-1.11375 -1.20639104567
-1.1121 -1.20453442522
-1.11045 -1.2026781787
-1.1088 -1.20082230484
-1.10715 -1.19896680242
-1.1055 -1.19711167054
-1.10385 -1.19525690786
-1.1022 -1.19340251333
-1.10055 -1.19154848577
-1.0989 -1.18969482408
-1.09725 -1.18784152287
-1.0956 -1.18598852408
-1.09395 -1.18413588194
-1.0923 -1.18228359845
-1.09065 -1.18043167263
-1.089 -1.17858010289
-1.08735 -1.17672888817
-1.0857 -1.17487802742
-1.08405 -1.17302751927
-1.0824 -1.17117736253
-1.08075 -1.16924987149
-1.0791 -1.16739905298
-1.07745 -1.16554858586
-1.0758 -1.16369846884
-1.07415 -1.16184870085
-1.0725 -1.15999928043
-1.07085 -1.1581502073
-1.0692 -1.15630147949
-1.06755 -1.15445309642
-1.0659 -1.15260505631
-1.06425 -1.15075735854
-1.0626 -1.14891000179
-1.06095 -1.14706298469
-1.0593 -1.1452163553
-1.05765 -1.14337489201
-1.056 -1.14154096441
-1.05435 -1.13970368955
-1.0527 -1.13786976181
-1.05105 -1.13603623294
-1.0494 -1.13420310232
-1.04775 -1.1323703687
-1.0461 -1.13053805705
-1.04445 -1.12870619035
-1.0428 -1.12687471733
-1.04115 -1.12504363655
-1.0395 -1.12321294681
-1.03785 -1.12138264799
-1.0362 -1.11955273872
-1.03455 -1.11772321844
-1.0329 -1.11589408618
-1.03125 -1.11406534077
-1.0296 -1.11223698207
-1.02795 -1.11040900856
-1.0263 -1.10858141971
-1.02465 -1.10675421427
-1.023 -1.10492739197
-1.02135 -1.10310095186
-1.0197 -1.10127489237
-1.01805 -1.09944921351
-1.0164 -1.09762391397
-1.01475 -1.09579949581
-1.0131 -1.09397582446
-1.01145 -1.0921023034
-1.0098 -1.09027051974
-1.00815 -1.08844609276
-1.0065 -1.08662208388
-1.00485 -1.08479849229
-1.0032 -1.08297554876
-1.00155 -1.08115311917
-0.9999 -1.07933112726
-0.99825 -1.07750957236
-0.9966 -1.07564155631
-0.99495 -1.07381866875
-0.9933 -1.07199618108
-0.99165 -1.07017409238
