# d=-12.2 u_star=-98.0121900131 m=-1.06901579073 C=1.14279476084
# s  F2_minus_ustar
-1.5081 -1.76738225695
-1.50645 -1.76528202556
-1.5048 -1.76318286853
-1.50315 -1.76108478377
-1.5015 -1.75897391936
-1.49985 -1.75687539758
-1.4982 -1.75477786538
-1.49655 -1.75268132017
-1.4949 -1.75058575925
-1.49325 -1.74849118004
-1.4916 -1.74639757996
-1.48995 -1.7443049563
-1.4883 -1.74221330654
-1.48665 -1.74012262797
-1.485 -1.73803291796
-1.48335 -1.73594417388
-1.4817 -1.73385639307
-1.48005 -1.73176957289
-1.4784 -1.72968371064
-1.47675 -1.7275989448
-1.4751 -1.72551515598
-1.47345 -1.72343237519
-1.4718 -1.7213506008
-1.47015 -1.71926983113
-1.4685 -1.71719006475
-1.46685 -1.71511130006
-1.4652 -1.71303353536
-1.46355 -1.71095148322
-1.4619 -1.70885603852
-1.46025 -1.70676151632
-1.4586 -1.7046675123
-1.45695 -1.70257445097
-1.4553 -1.70043296431
-1.45365 -1.69833971812
-1.452 -1.69624742059
-1.45035 -1.69415607025
-1.4487 -1.69206566546
-1.44705 -1.68997620491
-1.4454 -1.68788768726
-1.44375 -1.685800111
-1.4421 -1.68371347474
-1.44045 -1.68166478202
-1.4388 -1.67957789277
-1.43715 -1.67749185956
-1.4355 -1.67540668039
-1.43385 -1.67332235353
-1.4322 -1.67123887665
-1.43055 -1.66923159483
-1.4289 -1.66715216343
-1.42725 -1.66507360446
-1.4256 -1.66299591638
-1.42395 -1.66091909773
-1.4223 -1.65884314686
-1.42065 -1.65676802471
-1.419 -1.65469375849
-1.41735 -1.65262037675
-1.4157 -1.65054787528
-1.41405 -1.64847625257
-1.4124 -1.6464055159
-1.41075 -1.64433566295
-1.4091 -1.64226675198
-1.40745 -1.64020189221
-1.4058 -1.63813362526
-1.40415 -1.63606620544
-1.4025 -1.63399963837
-1.40085 -1.63193392253
-1.3992 -1.62986905572
-1.39755 -1.62780503725
-1.3959 -1.62575387365
-1.39425 -1.62370657188
-1.3926 -1.62166018314
-1.39095 -1.61961470513
-1.3893 -1.61757013687
-1.38765 -1.61552647743
-1.386 -1.61348372425
-1.38435 -1.61144187662
-1.3827 -1.60947533793
-1.38105 -1.60743301121
-1.3794 -1.60539159923
-1.37775 -1.60335117885
-1.3761 -1.60131183118
-1.37445 -1.5992734289
-1.3728 -1.59723597096
-1.37115 -1.59519945729
-1.3695 -1.59316388693
-1.36785 -1.59112925932
-1.3662 -1.58909557413
-1.36455 -1.58706283989
-1.3629 -1.58503105788
-1.36125 -1.58300021488
-1.3596 -1.58097031043
-1.35795 -1.57894141627
-1.3563 -1.57690056099
-1.35465 -1.57485252508
-1.353 -1.57280536515
-1.35135 -1.57075908037
-1.3497 -1.56871367027
-1.34805 -1.5666691341
-1.3464 -1.56462547122
-1.34475 -1.56264014962
-1.3431 -1.56059638306
-1.34145 -1.55855340907
-1.3398 -1.55651122676
-1.33815 -1.55446983486
-1.3365 -1.5524292326
-1.33485 -1.5503887286
-1.3332 -1.54834773231
-1.33155 -1.54630752479
-1.3299 -1.5442681053
-1.32825 -1.54222947305
-1.3266 -1.54019162719
-1.32495 -1.53815456305
-1.3233 -1.53611824904
-1.32165 -1.53408271336
-1.32 -1.53204795534
-1.31835 -1.53001397397
-1.3167 -1.5279807316
-1.31505 -1.52594814682
-1.3134 -1.52391634926
-1.31175 -1.52190624238
-1.3101 -1.5198740948
-1.30845 -1.51784264573
-1.3068 -1.51581189423
-1.30515 -1.51378176758
-1.3035 -1.51175234258
-1.30185 -1.50972362937
-1.3002 -1.50769562666
-1.29855 -1.50566833332
-1.2969 -1.50364174541
-1.29525 -1.5016161016
-1.2936 -1.49959176184
-1.29195 -1.49756817727
-1.2903 -1.49560326194
-1.28865 -1.49358283538
-1.287 -1.49156317041
-1.28535 -1.48948466957
-1.2837 -1.48746586062
-1.28205 -1.48544787726
-1.2804 -1.48343071946
-1.27875 -1.48141438744
-1.2771 -1.47939888087
-1.27545 -1.47738419989
-1.2738 -1.47537034442
-1.27215 -1.4733573147
-1.2705 -1.47134511032
-1.26885 -1.46933373176
-1.2672 -1.46732317876
